pop	chromosome	window_pos_1	window_pos_2	avg_pi	no_sites	count_diffs	count_comparisons	count_missing
PflaHELAf	OZ251425.1	1	50000	0.0	106	0	106	0
PflaKGBHm	OZ251425.1	1	50000	0.0	106	0	106	0
PflaHELEm	OZ251425.1	1	50000	0.0	106	0	106	0
PflaKGBDf	OZ251425.1	1	50000	0.0	106	0	106	0
PflaKGBHm	OZ251425.1	50001	100000	0.0	27	0	27	0
PflaHELEm	OZ251425.1	50001	100000	0.0	27	0	27	0
PflaKGBDf	OZ251425.1	50001	100000	0.0	27	0	27	0
PflaHELAf	OZ251425.1	50001	100000	0.0	27	0	27	0
PflaHELAf	OZ251425.1	100001	150000	NA	0	NA	NA	NA
PflaKGBHm	OZ251425.1	100001	150000	NA	0	NA	NA	NA
PflaHELEm	OZ251425.1	100001	150000	NA	0	NA	NA	NA
PflaKGBDf	OZ251425.1	100001	150000	NA	0	NA	NA	NA
PflaKGBHm	OZ251425.1	150001	200000	NA	0	NA	NA	NA
PflaHELEm	OZ251425.1	150001	200000	NA	0	NA	NA	NA
PflaKGBDf	OZ251425.1	150001	200000	NA	0	NA	NA	NA
PflaHELAf	OZ251425.1	150001	200000	NA	0	NA	NA	NA
PflaHELEm	OZ251425.1	200001	250000	0.0054283290924512	11790	64	11790	0
PflaKGBHm	OZ251425.1	200001	250000	0.0027989821882951	11790	33	11790	0
PflaHELAf	OZ251425.1	200001	250000	0.0068702290076335	11790	81	11790	0
PflaKGBDf	OZ251425.1	200001	250000	0.0072094995759117	11790	85	11790	0
PflaHELAf	OZ251425.1	250001	300000	0.0026715318954844	15347	41	15347	0
PflaKGBDf	OZ251425.1	250001	300000	0.0028018505245324	15347	43	15347	0
PflaHELEm	OZ251425.1	250001	300000	0.0033231250407245	15347	51	15347	0
PflaKGBHm	OZ251425.1	250001	300000	0.0026063725809604	15347	40	15347	0
PflaKGBHm	OZ251425.1	300001	350000	0.0055160885917258	11965	66	11965	0
