pop	chromosome	window_pos_1	window_pos_2	avg_pi	no_sites	count_diffs	count_comparisons	count_missing
PflaHELEm	OZ251426.1	1	30000	0.0113636363636363	88	1	88	0
PflaHELAf	OZ251426.1	1	30000	0.0	88	0	88	0
PflaKGBDf	OZ251426.1	1	30000	0.0	88	0	88	0
PflaKGBHm	OZ251426.1	1	30000	0.0	88	0	88	0
PflaKGBHm	OZ251426.1	30001	60000	NA	0	NA	NA	NA
PflaHELEm	OZ251426.1	30001	60000	NA	0	NA	NA	NA
PflaKGBDf	OZ251426.1	30001	60000	NA	0	NA	NA	NA
PflaHELAf	OZ251426.1	30001	60000	NA	0	NA	NA	NA
PflaKGBHm	OZ251426.1	60001	90000	NA	0	NA	NA	NA
PflaHELAf	OZ251426.1	60001	90000	NA	0	NA	NA	NA
PflaKGBDf	OZ251426.1	60001	90000	NA	0	NA	NA	NA
PflaHELEm	OZ251426.1	60001	90000	NA	0	NA	NA	NA
PflaHELAf	OZ251426.1	90001	120000	NA	0	NA	NA	NA
PflaKGBDf	OZ251426.1	90001	120000	NA	0	NA	NA	NA
PflaHELEm	OZ251426.1	90001	120000	NA	0	NA	NA	NA
PflaKGBHm	OZ251426.1	90001	120000	NA	0	NA	NA	NA
PflaKGBHm	OZ251426.1	120001	150000	NA	0	NA	NA	NA
PflaHELEm	OZ251426.1	120001	150000	NA	0	NA	NA	NA
PflaHELAf	OZ251426.1	120001	150000	NA	0	NA	NA	NA
PflaKGBDf	OZ251426.1	120001	150000	NA	0	NA	NA	NA
PflaHELAf	OZ251426.1	150001	180000	NA	0	NA	NA	NA
PflaKGBDf	OZ251426.1	150001	180000	NA	0	NA	NA	NA
PflaHELEm	OZ251426.1	150001	180000	NA	0	NA	NA	NA
PflaKGBHm	OZ251426.1	150001	180000	NA	0	NA	NA	NA
PflaKGBHm	OZ251426.1	180001	210000	NA	0	NA	NA	NA
PflaHELAf	OZ251426.1	180001	210000	NA	0	NA	NA	NA
PflaKGBDf	OZ251426.1	180001	210000	NA	0	NA	NA	NA
PflaHELEm	OZ251426.1	180001	210000	NA	0	NA	NA	NA
PflaHELAf	OZ251426.1	210001	240000	NA	0	NA	NA	NA
PflaKGBDf	OZ251426.1	210001	240000	NA	0	NA	NA	NA
PflaHELEm	OZ251426.1	210001	240000	NA	0	NA	NA	NA
PflaKGBHm	OZ251426.1	210001	240000	NA	0	NA	NA	NA
PflaHELEm	OZ251426.1	240001	270000	NA	0	NA	NA	NA
PflaKGBHm	OZ251426.1	240001	270000	NA	0	NA	NA	NA
PflaHELAf	OZ251426.1	240001	270000	NA	0	NA	NA	NA
PflaKGBDf	OZ251426.1	240001	270000	NA	0	NA	NA	NA
