pop1	pop2	chromosome	window_pos_1	window_pos_2	avg_dxy	no_sites	count_diffs	count_comparisons	count_missing
Female	Male	OZ251425.1	1	50000	0.0	106	0	1696	0
Female	Male	OZ251425.1	50001	100000	0.0	27	0	432	0
Female	Male	OZ251425.1	100001	150000	NA	0	NA	NA	NA
Female	Male	OZ251425.1	150001	200000	NA	0	NA	NA	NA
Female	Male	OZ251425.1	200001	250000	0.0044105173876166	11790	832	188640	0
Female	Male	OZ251425.1	250001	300000	0.0024841988662279	15347	610	245552	0
Female	Male	OZ251425.1	300001	350000	0.0047958373385714	11965	918	191416	24
Female	Male	OZ251425.1	350001	400000	0.0030331625775141	14899	720	237376	1008
Female	Male	OZ251425.1	400001	450000	0.0027089527585067	15149	656	242160	224
Female	Male	OZ251425.1	450001	500000	0.0028025450138504	23129	1036	369664	400
Female	Male	OZ251425.1	500001	550000	0.0018331882408089	29888	876	477856	352
Female	Male	OZ251425.1	550001	600000	0.0023343068494318	23481	876	375272	424
Female	Male	OZ251425.1	600001	650000	0.0029379404917562	31479	1474	501712	2000
Female	Male	OZ251425.1	650001	700000	0.0031201104463874	27305	1356	434600	2280
Female	Male	OZ251425.1	700001	750000	0.0033940937506577	23810	1290	380072	888
Female	Male	OZ251425.1	750001	800000	0.0032252252252252	20847	1074	333000	552
Female	Male	OZ251425.1	800001	850000	0.0049437607274586	27418	2166	438128	560
Female	Male	OZ251425.1	850001	900000	0.0039820648308098	19741	1254	314912	944
Female	Male	OZ251425.1	900001	950000	0.0032342931621249	20801	1072	331448	1368
Female	Male	OZ251425.1	950001	1000000	0.005129888519863	19452	1594	310728	504
Female	Male	OZ251425.1	1000001	1050000	0.0048587457423362	22725	1746	359352	4248
Female	Male	OZ251425.1	1050001	1100000	0.0056071235833783	23166	2078	370600	56
Female	Male	OZ251425.1	1100001	1150000	0.0056952868995328	28754	2614	458976	1088
Female	Male	OZ251425.1	1150001	1200000	0.0057925389579726	16041	1472	254120	2536
Female	Male	OZ251425.1	1200001	1250000	0.0061061968891318	20124	1966	321968	16
Female	Male	OZ251425.1	1250001	1300000	0.005811484980363	28266	2628	452208	48
Female	Male	OZ251425.1	1300001	1350000	0.0045929230457264	24700	1812	394520	680
Female	Male	OZ251425.1	1350001	1400000	0.0051817628973951	29655	2454	473584	896
Female	Male	OZ251425.1	1400001	1450000	0.0050967646624316	20338	1656	324912	496
