pop	chromosome	window_pos_1	window_pos_2	avg_pi	no_sites	count_diffs	count_comparisons	count_missing
PflaHELAf	OZ251426.1	1	50000	0.0	88	0	88	0
PflaHELEm	OZ251426.1	1	50000	0.0113636363636363	88	1	88	0
PflaKGBHm	OZ251426.1	1	50000	0.0	88	0	88	0
PflaKGBDf	OZ251426.1	1	50000	0.0	88	0	88	0
PflaHELAf	OZ251426.1	50001	100000	NA	0	NA	NA	NA
PflaKGBDf	OZ251426.1	50001	100000	NA	0	NA	NA	NA
PflaHELEm	OZ251426.1	50001	100000	NA	0	NA	NA	NA
PflaKGBHm	OZ251426.1	50001	100000	NA	0	NA	NA	NA
PflaHELAf	OZ251426.1	100001	150000	NA	0	NA	NA	NA
PflaKGBDf	OZ251426.1	100001	150000	NA	0	NA	NA	NA
PflaHELEm	OZ251426.1	100001	150000	NA	0	NA	NA	NA
PflaKGBHm	OZ251426.1	100001	150000	NA	0	NA	NA	NA
PflaHELEm	OZ251426.1	150001	200000	NA	0	NA	NA	NA
PflaKGBHm	OZ251426.1	150001	200000	NA	0	NA	NA	NA
PflaHELAf	OZ251426.1	150001	200000	NA	0	NA	NA	NA
PflaKGBDf	OZ251426.1	150001	200000	NA	0	NA	NA	NA
PflaKGBDf	OZ251426.1	200001	250000	NA	0	NA	NA	NA
PflaHELEm	OZ251426.1	200001	250000	NA	0	NA	NA	NA
PflaKGBHm	OZ251426.1	200001	250000	NA	0	NA	NA	NA
PflaHELAf	OZ251426.1	200001	250000	NA	0	NA	NA	NA
PflaHELEm	OZ251426.1	250001	300000	NA	0	NA	NA	NA
PflaKGBDf	OZ251426.1	250001	300000	NA	0	NA	NA	NA
PflaHELAf	OZ251426.1	250001	300000	NA	0	NA	NA	NA
PflaKGBHm	OZ251426.1	250001	300000	NA	0	NA	NA	NA
PflaHELEm	OZ251426.1	300001	350000	0.048780487804878	41	2	41	0
PflaKGBDf	OZ251426.1	300001	350000	0.048780487804878	41	2	41	0
PflaKGBHm	OZ251426.1	300001	350000	0.024390243902439	41	1	41	0
PflaHELAf	OZ251426.1	300001	350000	0.073170731707317	41	3	41	0
PflaHELAf	OZ251426.1	350001	400000	NA	0	NA	NA	NA
PflaKGBDf	OZ251426.1	350001	400000	NA	0	NA	NA	NA
PflaKGBHm	OZ251426.1	350001	400000	NA	0	NA	NA	NA
PflaHELEm	OZ251426.1	350001	400000	NA	0	NA	NA	NA
PflaKGBHm	OZ251426.1	400001	450000	0.0049916805324459	601	3	601	0
PflaHELEm	OZ251426.1	400001	450000	0.0149750415973377	601	9	601	0
PflaKGBDf	OZ251426.1	400001	450000	0.0049916805324459	601	3	601	0
PflaHELAf	OZ251426.1	400001	450000	0.0016638935108153	601	1	601	0
PflaKGBHm	OZ251426.1	450001	500000	NA	0	NA	NA	NA
PflaHELEm	OZ251426.1	450001	500000	NA	0	NA	NA	NA
PflaKGBDf	OZ251426.1	450001	500000	NA	0	NA	NA	NA
PflaHELAf	OZ251426.1	450001	500000	NA	0	NA	NA	NA
PflaHELEm	OZ251426.1	500001	550000	NA	0	NA	NA	NA
PflaKGBDf	OZ251426.1	500001	550000	NA	0	NA	NA	NA
PflaHELAf	OZ251426.1	500001	550000	NA	0	NA	NA	NA
PflaKGBHm	OZ251426.1	500001	550000	NA	0	NA	NA	NA
PflaHELEm	OZ251426.1	550001	600000	0.0047258979206049	2116	10	2116	0
PflaKGBDf	OZ251426.1	550001	600000	0.0037807183364839	2116	8	2116	0
PflaKGBHm	OZ251426.1	550001	600000	0.0066162570888468	2116	14	2116	0
PflaHELAf	OZ251426.1	550001	600000	0.0066162570888468	2116	14	2116	0
PflaHELEm	OZ251426.1	600001	650000	NA	0	NA	NA	NA
PflaHELAf	OZ251426.1	600001	650000	NA	0	NA	NA	NA
PflaKGBHm	OZ251426.1	600001	650000	NA	0	NA	NA	NA
PflaKGBDf	OZ251426.1	600001	650000	NA	0	NA	NA	NA
PflaHELAf	OZ251426.1	650001	700000	NA	0	NA	NA	NA
PflaKGBDf	OZ251426.1	650001	700000	NA	0	NA	NA	NA
PflaHELEm	OZ251426.1	650001	700000	NA	0	NA	NA	NA
PflaKGBHm	OZ251426.1	650001	700000	NA	0	NA	NA	NA
PflaHELAf	OZ251426.1	700001	750000	NA	0	NA	NA	NA
